date,tavg,tmin,tmax
23/05/2019,16.9,9,24.7
24/05/2019,16.9,10.8,21.1
25/05/2019,18.6,13.9,23.3
26/05/2019,17.2,14,20.1
27/05/2019,14.2,9,18.6
28/05/2019,12.8,9.3,17.9
29/05/2019,12.6,9.3,15.4
30/05/2019,18.6,13.2,24
31/05/2019,16.9,14.6,19.9
01/06/2019,19.2,10.5,26.8
02/06/2019,19.7,15.1,27.3
03/06/2019,15.6,10.6,20.3
04/06/2019,14.3,10.3,16.9
05/06/2019,15.2,11.8,19
06/06/2019,14.6,8.7,19.9
07/06/2019,14.3,11,18.3
08/06/2019,14.7,10.9,20.3
09/06/2019,14.3,8.6,18.7
10/06/2019,11.4,9.6,13.5
11/06/2019,13.2,10.2,17.4
12/06/2019,12.8,11,15.8
13/06/2019,12.7,11.4,14.2
14/06/2019,15.3,12.4,19.3
15/06/2019,14.8,11.5,19.3
16/06/2019,15.2,8.4,20.8
17/06/2019,16.7,11.6,22
18/06/2019,15.6,11,18.4
19/06/2019,16.6,14.3,19.2
20/06/2019,16.1,12.3,20.4
21/06/2019,16.1,8.8,21.7
22/06/2019,17.1,9.7,23.6
23/06/2019,18.7,12.5,24.5
24/06/2019,21.1,17.5,24
25/06/2019,19.9,17.8,23.6
26/06/2019,17.4,15.4,21.4
27/06/2019,17.5,13,24.2
28/06/2019,17.9,13.4,24
29/06/2019,24.4,14.7,33.9
30/06/2019,19.5,14.6,24.8
01/07/2019,18.1,13.3,22.5
02/07/2019,17.1,10.8,22.6
03/07/2019,18.3,12.9,23.6
04/07/2019,20,12,26.3
05/07/2019,21.5,15.7,26.2
06/07/2019,19.7,14.6,23.1
07/07/2019,17.4,14.4,21.1
08/07/2019,18.3,12.5,23.7
09/07/2019,19.6,15.3,24.9
10/07/2019,21,16.7,25.3
11/07/2019,21,16.3,26.8
12/07/2019,20.8,17.2,24.6
13/07/2019,19.3,14.5,23.7
14/07/2019,17.6,14.2,21.5
15/07/2019,17,11.8,22.4
16/07/2019,19.8,11.7,27
17/07/2019,20.4,13.5,25.8
18/07/2019,19.1,15.6,23.6
19/07/2019,16.7,12.7,19.1
20/07/2019,19.6,16.3,25.6
21/07/2019,18.6,13,23.4
22/07/2019,21.6,16.4,27.5
23/07/2019,25.5,15.7,33.4
24/07/2019,25.9,20,32.8
25/07/2019,28.6,19.7,37.2
26/07/2019,22.1,18.9,26.4
27/07/2019,17.9,16.2,19.8
28/07/2019,19,15.5,23.4
29/07/2019,20.2,13.2,25.2
30/07/2019,18.2,17,20.8
31/07/2019,19.7,16.4,23.7
01/08/2019,20.1,14.6,25.1
02/08/2019,20.6,15.5,25.3
03/08/2019,19.8,14.8,24.2
04/08/2019,20.3,15,27.1
05/08/2019,19.9,16,26.1
06/08/2019,19.2,15.6,23.7
07/08/2019,18.6,14.5,24.8
08/08/2019,19.3,13.4,23.9
09/08/2019,20.2,17.6,25
10/08/2019,18.9,16.8,23.6
11/08/2019,18.6,15.2,23.1
12/08/2019,15.6,,
13/08/2019,16.7,10,22.7
14/08/2019,15.8,13.9,17.4
15/08/2019,18.7,14.6,23.1
16/08/2019,16.1,12.7,18.9
17/08/2019,18.6,15,22.9
18/08/2019,16.8,14.3,22.2
19/08/2019,16.6,12.1,22.4
20/08/2019,16.3,10.7,22.2
21/08/2019,16.6,10.6,22.5
22/08/2019,18.2,12.4,24.2
23/08/2019,20.1,13.8,27.7
24/08/2019,21.8,13,29.9
25/08/2019,24.6,16.5,33.1
26/08/2019,24.8,17,32.9
27/08/2019,24.6,16.6,33
28/08/2019,20.2,18.1,25.6
29/08/2019,17.6,10.8,23.3
30/08/2019,18.3,13.4,24.2
31/08/2019,16.9,12.5,24.2
01/09/2019,15.9,11.6,20.1
02/09/2019,16,8.7,22.7
03/09/2019,17.9,15.3,21.5
04/09/2019,17.2,14.3,20.7
05/09/2019,14.8,12.1,18.3
06/09/2019,13.7,9.3,18.8
07/09/2019,14.5,11.6,17.4
08/09/2019,12.8,6.1,18.5
09/09/2019,13.7,11.8,15.8
10/09/2019,15.6,9.9,20.1
11/09/2019,17.5,13.5,21.3
12/09/2019,18.4,12,24.9
13/09/2019,17.6,13.5,22.5
14/09/2019,16.6,9.6,23.5
15/09/2019,18.4,9.8,26.3
16/09/2019,17.1,15.4,20
17/09/2019,14.9,9.6,19.8
18/09/2019,13.9,7.8,19.7
19/09/2019,14.8,7.9,21.8
20/09/2019,15.4,9.3,22
21/09/2019,18.2,11.8,26.3
22/09/2019,17.4,15.2,21.8
23/09/2019,15.9,13.7,19
24/09/2019,16.8,14.9,19.9
25/09/2019,17.1,14.6,22.2
26/09/2019,16.7,14.1,20
27/09/2019,15.2,13.2,19
28/09/2019,15.3,12,19
29/09/2019,16,13.5,19.8
30/09/2019,14.1,9.7,17.4
01/10/2019,15.7,11.4,21.1
02/10/2019,10.4,6.7,14.4
03/10/2019,9.4,4.3,14.4
04/10/2019,13.4,10.8,15.3
05/10/2019,13.5,11.4,15.9
06/10/2019,14.4,11.6,16.6
07/10/2019,13.2,10.4,15.2
08/10/2019,13.7,11.4,17.5
09/10/2019,12.3,9.9,15.2
10/10/2019,13.4,8.3,17.3
11/10/2019,15.4,12.7,16.9
12/10/2019,11.6,10.6,12.7
13/10/2019,13.7,11,17.2
14/10/2019,12.8,10.3,15.7
15/10/2019,12.8,10.8,16.9
16/10/2019,12.9,10.1,15.4
17/10/2019,11.5,8.2,15.4
18/10/2019,11.8,9.6,14.4
19/10/2019,11.3,9.3,14.4
20/10/2019,9.1,4.7,12.1
21/10/2019,11.6,10.6,13.1
22/10/2019,10.2,6.8,15.8
23/10/2019,10.1,4.2,14.5
24/10/2019,11.8,10.7,12.8
25/10/2019,13.4,9.5,16.5
26/10/2019,13.7,7.2,16.8
27/10/2019,7.6,4.4,11.8
28/10/2019,6.4,1.2,10.7
29/10/2019,8.8,6.6,11.4
30/10/2019,9.2,7.4,12.2
31/10/2019,8.3,6.6,11.7
01/11/2019,13.1,7.4,15.9
02/11/2019,11.9,10.1,14.6
03/11/2019,9.1,6.4,11.7
